dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
california_housing,tabpfn,xgb_point,hard,0,1600,400,0.307681,0.20983,,,,,,,0.69
california_housing,tabpfn,xgb_point,soft,0,1600,400,0.303077,0.199903,,,,,,,0.6
california_housing,tabpfn,xgb_point,mixed,0,1600,400,0.300869,0.200917,,,,,,,0.61
california_housing,tabpfn,xgb_quant,hard,0,1600,400,0.307197,0.203166,0.200918,0.7675,0.8475,0.747513,0.825829,,6.98
california_housing,tabpfn,xgb_quant,soft,0,1600,400,0.302089,0.174722,0.134614,0.585,0.7225,0.362239,0.448746,,10.46
california_housing,tabpfn,xgb_point,hard,1,1600,400,0.308947,0.209298,,,,,,,0.58
california_housing,tabpfn,xgb_point,soft,1,1600,400,0.304334,0.201113,,,,,,,0.6
california_housing,tabpfn,xgb_point,mixed,1,1600,400,0.301845,0.2029,,,,,,,0.6
california_housing,tabpfn,xgb_quant,hard,1,1600,400,0.309017,0.202618,0.200174,0.76,0.8825,0.737521,0.790311,,6.96
california_housing,tabpfn,xgb_quant,soft,1,1600,400,0.303436,0.174991,0.134412,0.5925,0.7375,0.362063,0.449026,,10.37
california_housing,tabpfn,xgb_point,hard,2,1600,400,0.309761,0.212246,,,,,,,0.58
california_housing,tabpfn,xgb_point,soft,2,1600,400,0.304894,0.202628,,,,,,,0.6
california_housing,tabpfn,xgb_point,mixed,2,1600,400,0.304106,0.204181,,,,,,,0.61
california_housing,tabpfn,xgb_quant,hard,2,1600,400,0.305618,0.201771,0.200974,0.755,0.8275,0.732331,0.816201,,6.96
california_housing,tabpfn,xgb_quant,soft,2,1600,400,0.303846,0.174742,0.133913,0.605,0.725,0.360765,0.447683,,10.41
wine_quality,tabpfn,xgb_point,hard,0,1600,400,0.613722,0.44345,,,,,,,0.85
wine_quality,tabpfn,xgb_point,soft,0,1600,400,0.691497,0.541423,,,,,,,0.8
wine_quality,tabpfn,xgb_point,mixed,0,1600,400,0.66958,0.520958,,,,,,,0.86
wine_quality,tabpfn,xgb_quant,hard,0,1600,400,0.620199,0.453049,0.36547,0.535,0.6225,0.884971,1.181358,,12.37
wine_quality,tabpfn,xgb_quant,soft,0,1600,400,0.677252,0.481566,0.379623,0.73,0.8325,1.271954,1.629555,,14.24
wine_quality,tabpfn,xgb_point,hard,1,1600,400,0.617453,0.442601,,,,,,,0.86
wine_quality,tabpfn,xgb_point,soft,1,1600,400,0.694419,0.54431,,,,,,,0.82
wine_quality,tabpfn,xgb_point,mixed,1,1600,400,0.667179,0.519914,,,,,,,0.87
wine_quality,tabpfn,xgb_quant,hard,1,1600,400,0.619611,0.453159,0.364238,0.52,0.635,0.901906,1.173373,,12.62
wine_quality,tabpfn,xgb_quant,soft,1,1600,400,0.677319,0.482288,0.379733,0.7425,0.835,1.270342,1.633937,,14.09
wine_quality,tabpfn,xgb_point,hard,2,1600,400,0.611237,0.439236,,,,,,,0.85
wine_quality,tabpfn,xgb_point,soft,2,1600,400,0.692251,0.54222,,,,,,,0.83
wine_quality,tabpfn,xgb_point,mixed,2,1600,400,0.667581,0.520397,,,,,,,0.86
wine_quality,tabpfn,xgb_quant,hard,2,1600,400,0.622752,0.453712,0.366179,0.505,0.64,0.877901,1.169038,,12.37
wine_quality,tabpfn,xgb_quant,soft,2,1600,400,0.677117,0.483337,0.379736,0.7325,0.83,1.269576,1.627562,,14.04
