dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
wine_quality,tabpfn,xgb_point,hard,0,640,160,0.636294,0.486074,,,,,,,0.72
wine_quality,tabpfn,xgb_point,soft,0,640,160,0.61035,0.485832,,,,,,,0.58
wine_quality,tabpfn,xgb_point,mixed,0,640,160,0.608826,0.484017,,,,,,,0.61
wine_quality,tabpfn,xgb_quant,hard,0,640,160,0.618618,0.470602,0.382783,0.3625,0.475,0.718836,0.948192,,9.35
wine_quality,tabpfn,xgb_quant,soft,0,640,160,0.644844,0.470439,0.33895,0.73125,0.85,1.307093,1.566977,,10.44
wine_quality,tabpfn,xgb_point,hard,1,640,160,0.639905,0.484622,,,,,,,0.64
wine_quality,tabpfn,xgb_point,soft,1,640,160,0.612889,0.487419,,,,,,,0.57
wine_quality,tabpfn,xgb_point,mixed,1,640,160,0.609758,0.485479,,,,,,,0.63
wine_quality,tabpfn,xgb_quant,hard,1,640,160,0.622999,0.474542,0.38097,0.3875,0.49375,0.723663,0.954203,,9.4
wine_quality,tabpfn,xgb_quant,soft,1,640,160,0.641363,0.469327,0.33796,0.725,0.85625,1.305956,1.563378,,10.27
wine_quality,tabfm,xgb_point,hard,0,640,160,0.636294,0.486074,,,,,,,0.71
wine_quality,tabfm,xgb_point,soft,0,640,160,0.612215,0.48257,,,,,,,0.52
wine_quality,tabfm,xgb_point,mixed,0,640,160,0.613992,0.483558,,,,,,,0.56
wine_quality,tabfm,xgb_quant,hard,0,640,160,0.618618,0.470602,0.382783,0.3625,0.475,0.718836,0.948192,,8.42
california_housing,tabpfn,xgb_point,hard,0,640,160,0.329106,0.230542,,,,,,,0.51
california_housing,tabpfn,xgb_point,soft,0,640,160,0.333614,0.226136,,,,,,,0.4
california_housing,tabpfn,xgb_point,mixed,0,640,160,0.324426,0.2221,,,,,,,0.41
california_housing,tabpfn,xgb_quant,hard,0,640,160,0.337309,0.232263,0.232693,0.675,0.775,0.688692,0.739269,,4.72
california_housing,tabpfn,xgb_quant,soft,0,640,160,0.331775,0.194376,0.152172,0.59375,0.69375,0.383203,0.49017,,7.05
california_housing,tabpfn,xgb_point,hard,1,640,160,0.325677,0.227285,,,,,,,0.42
california_housing,tabpfn,xgb_point,soft,1,640,160,0.338224,0.227841,,,,,,,0.39
california_housing,tabpfn,xgb_point,mixed,1,640,160,0.329299,0.225081,,,,,,,0.41
california_housing,tabpfn,xgb_quant,hard,1,640,160,0.334179,0.230691,0.233584,0.65625,0.73125,0.66206,0.743259,,4.67
california_housing,tabpfn,xgb_quant,soft,1,640,160,0.330474,0.194208,0.152426,0.6125,0.68125,0.383804,0.487699,,7.1
california_housing,tabpfn,xgb_point,hard,2,640,160,0.329181,0.231683,,,,,,,0.41
california_housing,tabpfn,xgb_point,soft,2,640,160,0.336556,0.228354,,,,,,,0.4
california_housing,tabpfn,xgb_point,mixed,2,640,160,0.326525,0.223621,,,,,,,0.42
california_housing,tabpfn,xgb_quant,hard,2,640,160,0.338273,0.233617,0.233004,0.675,0.76875,0.68488,0.750264,,4.66
california_housing,tabpfn,xgb_quant,soft,2,640,160,0.329858,0.193655,0.152444,0.60625,0.675,0.380566,0.483093,,7.01
wine_quality,tabpfn,xgb_point,hard,2,640,160,0.633191,0.483898,,,,,,,0.54
wine_quality,tabpfn,xgb_point,soft,2,640,160,0.609255,0.484687,,,,,,,0.52
wine_quality,tabpfn,xgb_point,mixed,2,640,160,0.609433,0.484158,,,,,,,0.55
wine_quality,tabpfn,xgb_quant,hard,2,640,160,0.618298,0.46965,0.381852,0.38125,0.48125,0.729575,0.95842,,8.27
wine_quality,tabpfn,xgb_quant,soft,2,640,160,0.644451,0.470137,0.339274,0.70625,0.8375,1.311444,1.562082,,9.27
