dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
kin8nm,tabpfn,xgb_point,hard,0,6553,1639,0.109155,0.083043,,,,,,0.0566,1.1
kin8nm,tabpfn,xgb_point,soft,0,6553,1639,0.110436,0.083995,,,,,,0.0283,1.05
kin8nm,tabpfn,xgb_point,mixed,0,6553,1639,0.110076,0.083685,,,,,,0.0362,1.04
kin8nm,tabpfn,xgb_quant,hard,0,6553,1639,0.110221,0.084025,0.068122,0.5241,0.649176,0.193148,0.280349,0.033,24.9
kin8nm,tabpfn,xgb_quant,soft,0,6553,1639,0.10979,0.08325,0.064331,0.615009,0.718731,0.181273,0.231888,0.0426,19.88
kin8nm,tabpfn,xgb_point,hard,1,6553,1639,0.108952,0.0831,,,,,,0.0611,1.11
kin8nm,tabpfn,xgb_point,soft,1,6553,1639,0.110664,0.083969,,,,,,0.0232,1.04
kin8nm,tabpfn,xgb_point,mixed,1,6553,1639,0.110396,0.08349,,,,,,0.0292,1.05
kin8nm,tabpfn,xgb_quant,hard,1,6553,1639,0.110031,0.083921,0.068209,0.519829,0.654667,0.191394,0.287686,0.0372,24.92
kin8nm,tabpfn,xgb_quant,soft,1,6553,1639,0.110676,0.083807,0.064419,0.613179,0.722392,0.181668,0.230963,0.023,20.12
kin8nm,tabpfn,xgb_point,hard,2,6553,1639,0.109176,0.082973,,,,,,0.0561,1.13
kin8nm,tabpfn,xgb_point,soft,2,6553,1639,0.110609,0.08398,,,,,,0.0245,1.06
kin8nm,tabpfn,xgb_point,mixed,2,6553,1639,0.110285,0.083608,,,,,,0.0316,1.06
kin8nm,tabpfn,xgb_quant,hard,2,6553,1639,0.110022,0.083812,0.068381,0.52593,0.650397,0.193159,0.282909,0.0374,24.82
kin8nm,tabpfn,xgb_quant,soft,2,6553,1639,0.110225,0.08356,0.064346,0.621721,0.723612,0.181733,0.231383,0.033,19.83
year_prediction,tabpfn,xgb_point,hard,0,80000,20000,8.672737,6.057756,,,,,,0.1042,63.73
year_prediction,tabpfn,xgb_point,soft,0,80000,20000,8.8269,6.039792,,,,,,-2.0866,71.42
year_prediction,tabpfn,xgb_point,mixed,0,80000,20000,8.774386,6.026391,,,,,,-1.3404,68.23
year_prediction,tabpfn,xgb_quant,hard,0,80000,20000,9.246438,5.998248,4.557298,0.7108,0.82065,16.449116,21.806032,-8.0487,904.65
year_prediction,tabpfn,xgb_quant,soft,0,80000,20000,9.120371,5.892717,4.427021,0.78645,0.88805,18.148209,23.613255,-6.2572,1350.35
year_prediction,tabpfn,xgb_point,hard,1,80000,20000,8.672043,6.060191,,,,,,0.114,64.12
year_prediction,tabpfn,xgb_point,soft,1,80000,20000,8.832535,6.042896,,,,,,-2.1667,71.7
year_prediction,tabpfn,xgb_point,mixed,1,80000,20000,8.775656,6.025111,,,,,,-1.3584,67.95
year_prediction,tabpfn,xgb_quant,hard,1,80000,20000,9.24199,5.999825,4.556817,0.7121,0.82145,16.438797,21.885832,-7.9855,903.59
year_prediction,tabpfn,xgb_quant,soft,1,80000,20000,9.121815,5.894656,4.427223,0.78535,0.8887,18.148951,23.614227,-6.2777,1360.15
year_prediction,tabpfn,xgb_point,hard,2,80000,20000,8.663699,6.060361,,,,,,0.2326,63.95
year_prediction,tabpfn,xgb_point,soft,2,80000,20000,8.829137,6.044763,,,,,,-2.1184,71.23
year_prediction,tabpfn,xgb_point,mixed,2,80000,20000,8.77299,6.026405,,,,,,-1.3205,68.04
year_prediction,tabpfn,xgb_quant,hard,2,80000,20000,9.265154,6.002094,4.558746,0.71265,0.8197,16.479593,21.802895,-8.3147,914.67
year_prediction,tabpfn,xgb_quant,soft,2,80000,20000,9.12272,5.891951,4.427308,0.78585,0.88905,18.147593,23.60405,-6.2906,1355.72
wine_quality,tabfm,xgb_point,hard,0,5197,1300,0.585228,0.395359,,,,,,0.3385,1.56
wine_quality,tabfm,xgb_point,soft,0,5197,1300,0.66074,0.498545,,,,,,-1.7515,1.42
wine_quality,tabfm,xgb_point,mixed,0,5197,1300,0.63185,0.475419,,,,,,-0.9519,1.54
wine_quality,tabfm,xgb_quant,hard,0,5197,1300,0.59472,0.412955,0.327601,0.65,0.779231,1.045307,1.434416,0.0758,22.68
wine_quality,tabfm,xgb_point,hard,1,5197,1300,0.586496,0.395574,,,,,,0.3034,1.51
wine_quality,tabfm,xgb_point,soft,1,5197,1300,0.660465,0.498924,,,,,,-1.7439,1.41
wine_quality,tabfm,xgb_point,mixed,1,5197,1300,0.633651,0.476514,,,,,,-1.0017,1.53
wine_quality,tabfm,xgb_quant,hard,1,5197,1300,0.597643,0.415732,0.327606,0.654615,0.776154,1.061873,1.386677,-0.0051,22.52
wine_quality,tabfm,xgb_point,hard,2,5197,1300,0.585456,0.396422,,,,,,0.3322,1.51
wine_quality,tabfm,xgb_point,soft,2,5197,1300,0.660586,0.498602,,,,,,-1.7472,1.42
wine_quality,tabfm,xgb_point,mixed,2,5197,1300,0.633498,0.476352,,,,,,-0.9975,1.53
wine_quality,tabfm,xgb_quant,hard,2,5197,1300,0.59674,0.413281,0.327919,0.661538,0.776154,1.047811,1.433093,0.0199,22.48
california_housing,tabfm,xgb_point,hard,0,16507,4127,0.259795,0.15669,,,,,,0.1261,1.18
california_housing,tabfm,xgb_point,soft,0,16507,4127,0.258602,0.155524,,,,,,0.1645,1.29
