dataset,cell,seed,rmse,crps,picp80,time_s
physiochemical_protein,student_quant_hard,2,3.573462,1.784195,0.6863,97.39
physiochemical_protein,student_quant_soft,2,3.512788,1.736073,0.6475,60.03
video_transcoding,teacher,0,1.07362,0.213789,0.9122,546.3
video_transcoding,student_point_hard,0,0.83948,,,2.33
video_transcoding,student_point_soft,0,1.654633,,,2.27
video_transcoding,student_quant_hard,0,1.324897,0.30694,0.8893,97.53
video_transcoding,student_quant_soft,0,0.95771,0.297103,0.8439,44.37
video_transcoding,student_point_hard,1,0.820756,,,2.38
video_transcoding,student_point_soft,1,1.511539,,,2.26
video_transcoding,student_quant_hard,1,1.4004,0.307649,0.8847,97.6
video_transcoding,student_quant_soft,1,0.98892,0.297787,0.8356,44.47
video_transcoding,student_point_hard,2,0.84219,,,2.39
video_transcoding,student_point_soft,2,1.552198,,,2.28
video_transcoding,student_quant_hard,2,1.265394,0.301338,0.8873,97.85
video_transcoding,student_quant_soft,2,0.986608,0.297401,0.8407,44.13
diamonds_real,teacher,0,507.441975,183.07341,0.826,192.2
diamonds_real,student_point_hard,0,526.937476,,,0.89
diamonds_real,student_point_soft,0,528.627147,,,0.91
diamonds_real,student_quant_hard,0,531.198531,192.531325,0.7827,101.86
diamonds_real,student_quant_soft,0,533.906232,195.459734,0.7373,20.37
diamonds_real,student_point_hard,1,528.184324,,,0.99
diamonds_real,student_point_soft,1,529.20505,,,1.02
diamonds_real,student_quant_hard,1,530.239403,192.476127,0.7817,99.72
diamonds_real,student_quant_soft,1,534.234736,195.468495,0.7363,17.36
diamonds_real,student_point_hard,2,527.266175,,,1.0
diamonds_real,student_point_soft,2,529.443044,,,1.0
diamonds_real,student_quant_hard,2,530.914832,192.478077,0.7809,99.15
diamonds_real,student_quant_soft,2,534.020276,195.456264,0.7341,19.1
space_ga,teacher,0,0.088676,0.048793,0.8039,0.7
space_ga,student_point_hard,0,0.107282,,,0.18
space_ga,student_point_soft,0,0.109877,,,0.18
space_ga,student_quant_hard,0,0.111905,0.059969,0.672,6.44
space_ga,student_quant_soft,0,0.11005,0.05924,0.7444,3.21
space_ga,student_point_hard,1,0.108744,,,0.19
space_ga,student_point_soft,1,0.109081,,,0.18
space_ga,student_quant_hard,1,0.112236,0.060169,0.6929,6.5
space_ga,student_quant_soft,1,0.110464,0.059275,0.7235,3.14
space_ga,student_point_hard,2,0.108284,,,0.2
space_ga,student_point_soft,2,0.109661,,,0.18
space_ga,student_quant_hard,2,0.111931,0.060212,0.6688,6.14
space_ga,student_quant_soft,2,0.110485,0.059185,0.7379,3.31
pumadyn32nh,teacher,0,0.020982,0.012438,0.7712,5.3
pumadyn32nh,student_point_hard,0,0.021486,,,0.44
pumadyn32nh,student_point_soft,0,0.020931,,,0.44
pumadyn32nh,student_quant_hard,0,0.021551,0.013027,0.7279,11.8
pumadyn32nh,student_quant_soft,0,0.020929,0.012405,0.7797,8.15
pumadyn32nh,student_point_hard,1,0.021484,,,0.45
pumadyn32nh,student_point_soft,1,0.02093,,,0.45
pumadyn32nh,student_quant_hard,1,0.021477,0.013016,0.7297,11.72
pumadyn32nh,student_quant_soft,1,0.020922,0.012405,0.7797,8.14
pumadyn32nh,student_point_hard,2,0.02149,,,0.43
pumadyn32nh,student_point_soft,2,0.020926,,,0.43
pumadyn32nh,student_quant_hard,2,0.02149,0.013022,0.7328,11.52
pumadyn32nh,student_quant_soft,2,0.020927,0.012405,0.7816,8.49
fps_benchmark,teacher,0,0.54444,0.312799,0.9801,83.4
fps_benchmark,student_point_hard,0,0.688157,,,0.3
fps_benchmark,student_point_soft,0,0.867263,,,0.28
fps_benchmark,student_quant_hard,0,0.730965,0.468631,0.9809,15.16
fps_benchmark,student_quant_soft,0,0.703622,0.38819,0.9724,5.11
fps_benchmark,student_point_hard,1,0.672166,,,0.3
fps_benchmark,student_point_soft,1,0.886858,,,0.29
fps_benchmark,student_quant_hard,1,0.732973,0.458839,0.9834,15.13
fps_benchmark,student_quant_soft,1,0.703135,0.382162,0.9689,5.12
fps_benchmark,student_point_hard,2,0.722928,,,0.31
fps_benchmark,student_point_soft,2,0.889551,,,0.28
fps_benchmark,student_quant_hard,2,0.744771,0.46772,0.9819,14.94
fps_benchmark,student_quant_soft,2,0.682652,0.386162,0.9693,5.02
cps88wages,teacher,0,363.846119,160.409456,0.789,25.8
cps88wages,student_point_hard,0,364.853361,,,0.28
cps88wages,student_point_soft,0,363.941822,,,0.27
cps88wages,student_quant_hard,0,367.396478,160.7567,0.8018,24.13
cps88wages,student_quant_soft,0,368.678528,160.597725,0.7915,5.17
cps88wages,student_point_hard,1,364.915055,,,0.29
cps88wages,student_point_soft,1,363.915391,,,0.28
cps88wages,student_quant_hard,1,367.360193,160.755464,0.7995,24.45
cps88wages,student_quant_soft,1,368.675562,160.593053,0.7912,5.17
cps88wages,student_point_hard,2,364.922166,,,0.54
cps88wages,student_point_soft,2,363.943555,,,0.28
cps88wages,student_quant_hard,2,367.248724,160.750119,0.7991,24.24
cps88wages,student_quant_soft,2,368.587627,160.590679,0.791,5.1
sarcos,teacher,0,1.691213,0.796069,0.8423,256.5
sarcos,student_point_hard,0,2.259471,,,2.0
sarcos,student_point_soft,0,2.420417,,,2.01
sarcos,student_quant_hard,0,2.617553,1.270099,0.7712,73.66
sarcos,student_quant_soft,0,2.352328,1.163007,0.7407,38.37
sarcos,student_point_hard,1,2.251298,,,2.16
sarcos,student_point_soft,1,2.419979,,,2.02
sarcos,student_quant_hard,1,2.620677,1.270491,0.7719,72.83
sarcos,student_quant_soft,1,2.347675,1.162994,0.736,38.59
sarcos,student_point_hard,2,2.246097,,,2.1
sarcos,student_point_soft,2,2.417384,,,2.12
sarcos,student_quant_hard,2,2.610613,1.269071,0.7685,74.39
sarcos,student_quant_soft,2,2.358096,1.163567,0.7405,38.2
