rope,p_neg,p_equiv,p_pos
0.02,0.2670803048060488,0.018343088272651086,0.7145766069213001
0.05,0.24892939897215546,0.053580728842745264,0.6974898721850993
0.1,0.21740569806971918,0.15327301798641074,0.6293212839438701
