dataset,task_type,model,family,train_size,n_train,n_val,n_test,seed,fit_time_s,roc_auc,ks,log_loss,accuracy,rmse,mae,r2
give_me_some_credit,binary,catboost,gbdt,4000,3600,400,20000,0,0.111,0.856315,0.547597,0.244405,0.93525,,,
give_me_some_credit,binary,catboost,gbdt,4000,3600,400,20000,1,0.105,0.856558,0.55116,0.260547,0.93395,,,
give_me_some_credit,binary,catboost,gbdt,4000,3600,400,20000,2,0.077,0.850333,0.539886,0.348859,0.93315,,,
give_me_some_credit,binary,catboost,gbdt,8000,7200,800,20000,0,0.403,0.857175,0.551285,0.183435,0.93605,,,
give_me_some_credit,binary,catboost,gbdt,8000,7200,800,20000,1,0.149,0.853624,0.549204,0.242891,0.9355,,,
give_me_some_credit,binary,catboost,gbdt,8000,7200,800,20000,2,0.319,0.857272,0.552298,0.187487,0.93465,,,
give_me_some_credit,binary,catboost,gbdt,16000,14400,1600,20000,0,0.741,0.858979,0.553055,0.181441,0.93675,,,
give_me_some_credit,binary,catboost,gbdt,16000,14400,1600,20000,1,1.117,0.859059,0.554175,0.181382,0.93725,,,
give_me_some_credit,binary,catboost,gbdt,16000,14400,1600,20000,2,0.173,0.852875,0.546757,0.296351,0.93375,,,
give_me_some_credit,binary,catboost,gbdt,32000,28800,3200,20000,0,0.243,0.854831,0.547087,0.243903,0.93605,,,
give_me_some_credit,binary,catboost,gbdt,32000,28800,3200,20000,1,2.054,0.860544,0.555643,0.180529,0.9371,,,
give_me_some_credit,binary,catboost,gbdt,32000,28800,3200,20000,2,1.682,0.861414,0.55524,0.17974,0.937,,,
give_me_some_credit,binary,catboost,gbdt,64000,57600,6400,20000,0,1.846,0.863153,0.561365,0.179262,0.9373,,,
give_me_some_credit,binary,catboost,gbdt,64000,57600,6400,20000,1,1.25,0.861786,0.556286,0.179968,0.93725,,,
give_me_some_credit,binary,catboost,gbdt,64000,57600,6400,20000,2,1.703,0.862268,0.557218,0.179596,0.93735,,,
give_me_some_credit,binary,catboost,gbdt,80000,72000,8000,20000,0,4.03,0.864472,0.565924,0.178964,0.93725,,,
give_me_some_credit,binary,catboost,gbdt,80000,72000,8000,20000,1,1.27,0.86168,0.558661,0.180073,0.93715,,,
give_me_some_credit,binary,catboost,gbdt,80000,72000,8000,20000,2,3.302,0.86453,0.563173,0.178772,0.93735,,,
give_me_some_credit,binary,tabm,deep_learning,500,450,50,20000,0,0.41,0.291507,0.323612,0.33803,0.93315,,,
give_me_some_credit,binary,tabm,deep_learning,500,450,50,20000,1,0.974,0.797216,0.485193,0.224862,0.93395,,,
give_me_some_credit,binary,tabm,deep_learning,500,450,50,20000,2,0.586,0.697713,0.275156,0.233266,0.933,,,
give_me_some_credit,binary,tabm,deep_learning,1000,900,100,20000,0,1.696,0.787053,0.439692,0.21821,0.93425,,,
give_me_some_credit,binary,tabm,deep_learning,1000,900,100,20000,1,1.717,0.738805,0.370525,0.223957,0.93335,,,
give_me_some_credit,binary,tabm,deep_learning,1000,900,100,20000,2,2.834,0.789569,0.456723,0.216233,0.93415,,,
give_me_some_credit,binary,tabm,deep_learning,2000,1800,200,20000,0,3.871,0.803696,0.465722,0.198362,0.935,,,
give_me_some_credit,binary,tabm,deep_learning,2000,1800,200,20000,1,3.137,0.778102,0.426221,0.207373,0.9357,,,
give_me_some_credit,binary,tabm,deep_learning,2000,1800,200,20000,2,1.655,0.793008,0.444989,0.213767,0.9342,,,
give_me_some_credit,binary,tabm,deep_learning,4000,3600,400,20000,0,6.347,0.812902,0.48536,0.196107,0.93445,,,
give_me_some_credit,binary,tabm,deep_learning,4000,3600,400,20000,1,7.056,0.800555,0.465023,0.200925,0.93305,,,
give_me_some_credit,binary,tabm,deep_learning,4000,3600,400,20000,2,5.764,0.809271,0.495489,0.195109,0.93395,,,
give_me_some_credit,binary,tabm,deep_learning,8000,7200,800,20000,0,8.827,0.819029,0.495895,0.193189,0.93445,,,
give_me_some_credit,binary,tabm,deep_learning,8000,7200,800,20000,1,6.628,0.815789,0.49559,0.195098,0.9342,,,
